"","LS","TF","FS","YL","SY","TP","CG","HS","WS","ND","DX","XT","WF"
"LS","0","","","","","","","","","","","",""
"TF","0.137931015583148","0","","","","","","","","","","",""
"FS","0.0222222598982446","0.159663883504918","0","","","","","","","","","",""
"YL","0.0366492057715173","0.101796396927021","0.0588235581066438","0","","","","","","","","",""
"SY","0.0849314650444135","0.0536277830291704","0.106951867294235","0.0484330153024242","0","","","","","","","",""
"TP","0.103064036069823","0.0353697867516792","0.125000006478766","0.0666666445524796","0.0182926939187622","0","","","","","","",""
"CG","0.0548926292446075","0.191374671387226","0.0327102705863631","0.0913580435293692","0.13917524379528","0.157068059690225","0","","","","","",""
"HS","0.0173697463074818","0.154929577464789","0.00485438736009343","0.0539845861712908","0.102150515030266","0.120218567559304","0.0375586940643714","0","","","","",""
"WS","0.0198020087119566","0.157303379816383","0.00242131667551452","0.0564102759728065","0.104557627315645","0.12261580126571","0.0351288049929473","0.00243309928324995","0","","","",""
"ND","0.0645161207624493","0.0740740631724471","0.0866142023981229","0.0279329614891385","0.0205278254475096","0.0388059473749417","0.118987361087075","0.081794206139096","0.0842105463931435","0","","",""
"DX","0.0999999576144748","0.0384615619742183","0.121951214469301","0.063583781252472","0.0151975676842052","0.00309598693271364","0.154046982826044","0.117166189309805","0.119565203307031","0.0357142512490153","0","",""
"XT","0.00253160693977453","0.13544670488766","0.0247524743126416","0.0341207646034945","0.0824175789626581","0.100558666658924","0.0574162572445594","0.0199004781561614","0.0223324961035424","0.0619946393735876","0.0974930320678952","0",""
"WF","0.0790698029274164","0.214659701548877","0.0569476062210672","0.115384641836381","0.162907261940432","0.180661582053917","0.024282568513919","0.0617849134050642","0.0593607377519807","0.142857169702303","0.1776649677387","0.0815850786832412","0"
