,LS,TF,FS,YL,SY,TP,CG,HS,WS,ND,DX,XT,WF
LS,,,,,,,,,,,,,
TF,707.798794504587,,,,,,,,,,,,
FS,517.874113604121,611.296967290433,,,,,,,,,,,
YL,438.386675495925,531.809529182238,79.9426528503708,,,,,,,,,,
SY,484.587002055719,588.41081885134,86.0577178661741,82.15238469141,,,,,,,,,
TP,503.847392781078,649.580400419414,68.0375513621011,120.337910855166,65.4176065412316,,,,,,,,
CG,479.956396829779,573.379250516091,212.902286260421,133.414848152225,202.290329558316,251.185719389402,,,,,,,
HS,342.104439952132,428.775078151896,183.340502879654,103.853064771458,166.163792004806,221.623936008635,145.422786105312,,,,,,
WS,323.28795976874,414.918297002376,206.160779767761,126.673341659565,179.830822657181,241.833873689965,168.243062993419,29.2677448718437,,,,,
ND,331.303221853851,426.063510022317,187.164598304472,107.677160196276,163.376382293257,225.379433326042,149.24688153013,10.8012180982806,19.1737040149327,,,,
DX,372.779432490784,466.202286177097,145.855544244916,66.3681061367199,135.243587542811,184.138977373897,107.176964338994,38.2458217663172,61.0660986544244,42.0699171911356,,,
XT,635.87488507077,85.0024165275232,539.373057856617,459.885619748421,516.486909417524,577.656490985598,501.455341082275,356.851168718079,342.99438756856,354.1396005885,394.27837674328,,
WF,536.580268339453,630.003122025766,30.386274919615,98.6488075857031,113.814362434356,90.5462092312293,231.608440995753,202.046657614986,224.866934503093,205.870753039805,164.561698980248,558.079212591949,
